Mint                                         Time to Peak
3FZXUMHySxyTzJEiF6Yq66RerqES4MzsprP3BZrZpump  8.822241
Aax7naxiAumJD5rmWfcfUUqg1UYUzjZkUZVfA9Kao8ae  8.919883
A4RXmHKc4eTLzPxtdcF3nfo429d2D9EYZ69HiQr7pump  9.016718
9t12pU92QiX4y3ZevAAV56d5wRetNdxeyQZQqhwdpump  9.034691
G5QT66FZUK6BVKMUHU235mxSB92kp182628poygepump  9.288412
74cMCCDrgaCdAsjv7wh9Ex43cKPA7Sb2dbKpysHgpump  9.956861
BVvvC7zNPfDhs7fMuyhTzhf1qrxWcatYBi4sthADpump  10.076857
EL2xX3qDwKMYuGeypiEhkTL55zW7AvB6vU6uPbR9pump  10.40808
FdRsnhSH6PaPwRKgCrHjHrfNz5gkoN8axRZzscdypump  10.715317
482ZEJD4JjxJrzQCnyze9uEurX4uAM3Au4pgwVdipump  11.149794
GKePUye83gfxQN94jyo2Pu4dLkuLz9p2X1fgJuELpump  11.289525
6tYirs3md3GB2z3VarvjCYCTcPfUKDHC6W19ahRppump  11.860777
6Q2jePPZ4x7rsUZxASD6haPqEM3rnLnejGCEF1papump  12.453782
EjVo4kkjzu7JUcXkuG3YBtGAZTV5pXjWXcjkPYqZpump  12.971156
H4oLM2io4tAwMz7G4txzPULu46YLEku61Jzfk74GQQGj  13.206278
HkQ6GYQ8m3NecCe72FGpNqxPKFupSiVqm7vacHCgpump  14.471205
BLkqK4LNxgJ1vEKF8jcheKTGWGedijjrR5dCGV4hpump  14.76909
GPKLB1Ae7sCwi4VpZAZPTwo3jgwMF8uRGZU4UmQwtiKk  16.722561
BjkHsQV3qKmR6NwS8WqJi6ijeEWtF6XmZypnNnCzpump  16.892869
4H2tr57J8myWbrnHYi2TgiFzj8FZY3npjjUFEJnUpump  17.011511
98ygt993oFJLomaS3gZqqoXdmKqeyc3rGqdRPvgApump  17.696539
7LosUXhoZvriSJTozyEdn66xPV6LcgZQcoZXLHf2pump  17.82426
75Wy9Lp8caS2LqondqyQn1VbiXoJTzvzJw7kKorZpump  18.598348
CScNR62Eo5LmNnu1UG6qGM8SH2nrgPTYEdVhHNL7pump  18.666356
GAvdXa6hurRb8bt1U3GXGjPPFa3HS1VeWgEyyinBpump  19.041275
3k68isuCcvUz5wdbv3971tri3dpfHHXJ5bw5XxRnpump  19.17078
8jHNLaB1apKZZqQeCKrADU4Yh9i7cXT696v6P35Ppump  20.078605
EYuPCqVzxPMCmRKVrntkj9t25bQQC1m7ic9s2dzqpump  20.109779
3ko1EVF99RvfiLH4CLr4M3WSE698fhVkcfvUJ4sPpump  20.60695
Ei2nUCU5kmrZvM69JLEzeC369kYJDFGdDq9cFczxpump  21.180879
sKEyQ2nEF3PxvTkQ3uCYRd582pLRKtcwyLsBz7vpump   21.861382
CanYLDMqiDDEGZbCtXqtW6a94ibqhmyyG2VLxjsnpump  22.295151
