Mint                                         Time to Peak
H5AifKXqRJN7F1f9RZwWyREDK7YxqHuxSHXSGuAWpump  0.177964
3umN1jAs9qxdaL6wGp7M2dNgVNKYwzwu7BsUKgQxpump  0.208697
G7SCahcx9Kw8mGjdphJkhLLda4PG3NXuWFixGGMipump  0.247218
GcKfKVjhNfz66UQsVVTYa1kfDQEqApTsegfMateMpump  0.247341
AG7PQU7e1RWYxkfMooYFGLzQ3g8HDMxjYnx5eYVSpump  0.311254
CHAimdofXAkQTSdRFZG3iM5ifnGE6gsGQvVSr1F2pump  0.32183
3jAyimgyG9vnMMg7d2rUMgnaoENV2j4JntgPSmvYpump  0.351153
H6L4RwEvZyWJvkRavQCwNyjG9QM8WDUwndrvMDCWpump  0.352237
E11yopW4Z1YcyaSEnJHruL1K1H3KrVouxWDqH1eZpump  0.355121
6w6gsHqxxhd4QWCoakXmrR9pyzR5JpMrUoAmNu6dpump  0.364098
6nVnPizML2ZdParFas1Xkh7XTsqH9dDtfEBvVwdspump  0.364678
Fgb9TzTZacrWJVwZfqV5HEZnESSVQSfFnxZFTBQXpump  0.385797
GfzXLv4bmDdL2RrHtxnPC8zWrhowvoKcf3pgqJNNpump  0.386993
592XouvaQvxxbLXNQatiH71Y2JRvnYYKY3hMv7GGpump  0.392782
9VpYxPchAjvWNAMZEn4Zma7MCenKGY4H5oggR4KWpump  0.399119
FzpwJYEs79RRq7gkdLmFmFgHK4i1FHxEioLW5ivdpump  0.439619
Z8TgznUAbRFUFHfeSANbKF5ieUYR59ojsBT6aropump   0.470987
9RC599eWqaY1rukRSdQv7VMdV9TqDmPce3h9r37sjH5a  0.473187
FL58wYKEnjZxcZyfm8WTG4SJyowRafpXoDsKv9wTBHtB  0.48599
7fatUtHtu5cQmjTchaiumhhYe8KgSHb7Avq9adGpump   0.486264
2PaW2qdDwAG5Q1KB9TkqxvJFmU5zS146jB5DacY4pump  0.494024
3TjppjSoHgd6d3iUKBUXzZqJ8oD3xPTVuGQg6LHr5qsK  0.498352
B6Z1W3sUSLxsEfrhedM2s2zdXcxbMdRE9eYaUgsDpump  0.503629
4JPdYVv2fx5g3zautXqvSXyY57JGtoGN8ZLSRQv2pump  0.509678
GQqVQDXUxs4QYBikHChsZJuJoLcXsPpwKTUaz3PUpump  0.560851
5xjYGz3uUDjiztWo8grtsxZVX6MdPmqcc6aR6mYpump   0.570778
ForEV7RJVjHh1sVLq5sYjomQRZZ71SN37ANQVmxJpump  0.588996
6FYQzyJcuKSPbpBq2uwEuBCvSzBrpZgQupuxwen2pump  0.589736
8viRQc3SZEZPuKEafdrWUmTiNXBAXFoptFeYoDJxpump  0.591749
6RDVqx8E69jXx3ewocFWTmGabteAen6DKQ7H4JPwpump  0.623842
8jsnWFnC5JBoe6qN5t2e1fDxJP7pL3TByyNzwcmbpump  0.646056
ExeDyQvHF959SMhwy834EYBDGEcSCK8bSJGkio6apump  0.651768
6NLsLZF9trjF1QCbL3hhPYdfX9LVa8dwVU911Cxgpump  0.710483
HtHMgZwxLsuV99yzqfbRJvQkVPVoEsAqv8ds5Rahpump  0.715223
C5FyDSGZSiBGvSMBQCviFRUvFH7mjZ3RWStbSkjrpump  0.716355
ExrxdWRCXhdTCHhprWG61z1p4uJx1pfMyXeafzfHpump  0.717094
GYPMTJ3oLyBV3ZHpr2WZcXrXMvrFxEFhLAf4QLvhHAXr  0.747328
2ZCfuFLNgcqe2DHMu9Au3E7YhDX5bzBmaipqHveRUVkq  0.751401
zV1zBzTd4vDEVzjGdLbbUDzJkh7pp69i8jUTW61pump   0.792509
DzUaF2XweBf1qhnnhvEGE7sWtiuBjw5TczPpy1fTpump  0.821226
BcmmkbtgBKRCUmiUA6KWAa4WdKinSVBHmkiChbk8pump  0.822532
3vtHnCw6aPsVzhtJ3tNzkxBQ9eBPUJRXnwFQ9Lxipump  0.830287
HdBZV3SpYibaSN7NyYG232ArMGsDQrGmmZR6ZNw2BQYv  0.831711
pRXiYmDksfWLdNSiv6HWX59baxvoG4FrLsDBih6pump   0.839221
631VVAM9ryLAVDFDrQV84LMpzQUvoSLXrE4HH1HZpump  0.866254
87yTR99XiC8MjXRmKYDChqPaFV2REEYsnjnxRM5kpump  0.881708
jsjF3LN1X5q4RWgoAG3jxDdvMfEPBfVPMoMTUXNpump   0.91221
5DuGg6xRBkHR9DSAW6fRdL7Z3uqPSEiLMhgQjrczpump  0.942779
EAyQnRDQHiwoabXJ8RKzBMiURzC3frRyhseF9TQNpump  0.947279
EJWpxwcgoXqgb8z6e6EthPJqEs7dohVeFykhH4ERpump  0.94949
EX3JA9J7LNwwuarZmQhRpwGaJosTCFh1RyHz1Ssxpump  0.951292
9oLYHP8qi7hkK93PxtWXhQhjPjtK1fBtwcWizZq4EH6A  0.983554
4WosQfN9pLhBrEZom5NiJkYkDR6QhP27dJHahyXJ2SQA  0.998802
6fMAaHC9QuuxbDuK8awQsBhaFdrC1d2EX6aFSdo5pump  1.017108
DU1o6wM7ZrkBTMywpv2DWZFwCjfzDUwdhjeKEzCaKBo7  1.020583
6UaTS1ZV2KXWPRwEw2RtxMyg9QiUp4yrGptoqxYwBx3L  1.020583
74B7czeNsrbThEDepurmpFNGXyfgVkTRgrbpokYpump   1.048254
Env9D4wu83iAVvqRPkvrjtabBvFjDtaMN9gncMt2pump  1.058743
8jSdR2LVVFhXDxEAn7c3Fdkidpveo8RUXnjTbUripump  1.071077
CQNRejfWMdMLP5hHJdaEWJHZDwCkL4PCpQbLRfBXpump  1.089391
9EK24zgomrwaq8yfrnwUckpvNUnF8y24eeYhU87bpump  1.114239
7orJ3SGBRiMkd6wiUVPBsFk7i2N13MkguSR7ngZppump  1.133463
AvqyoxMLCziUKWpsXMzhVSPEihjWLyaE5AzPCtBrpump  1.172014
9UZwHHgdgnXu6tCn5L1hiNLP5gAhfam2v6oaAPFqpump  1.182346
8uSG6EpnRzDKBch6qE6K4YHVg24wYjTojcrS7noRpump  1.213294
GT5j4bKLXjRCpKWoquEXEtmBJ6ymCQk9xobYXdTupump  1.229379
FwR35BVpsYzmycWUj4KFSjpwkMZtLa83RLbeYuqZpump  1.230299
7MygAav8dpKpsiAP5Z3KZqMa9AoMDcgoPQUk3GNZpump  1.244167
9u4fertuG6kbB98oE72gTxinmFUN8Kqi4zW8X8D8pump  1.270575
5t8FPfUsk6Ppq4CBYv6u7MWeNB8HwwM5Ri9z7fXRpump  1.326709
BVJ5DQJbJFK5aedLxHKNfD5Y3jDEUWsuToGHNDKvpump  1.343633
37ccUvkv85RvBudQQzJBMehsiyTx6uZrLZKfHTdd3Xnd  1.350402
ACz4NQvXpdph4pQxxQTBZ1hDcRWxK1DaXt1BwCmUpump  1.355739
yAn1UhhcGL7NYKfxLmcBBxNPycqQ9jwf1EPZ7bZpump   1.36774
A4YZoZqr6wQ85TJ7RPpy5uLm9XFZiRUVLCKvfT4Mpump  1.39225
46jT4JEiTNZwjuvAuVzCJaUc8jVEjfF5FrtnwSoipump  1.438229
Dk7ghCe9msDVaDHUMdfYbq7Lw8FgXWK6FAWRzu3NXnXq  1.449184
GEzWSxUECgEB1y5gQ3or8YMtKWqDtahsuZw8shH9pump  1.46897
2Mzd1vMvNrC1tB3vJn4ni9kL8YqQneepKrVoZnaLpump  1.509872
4sTv8TgkNpKooe9UW5tUnHWGaLRoTmucGRAJih9zpump  1.527132
5ChHaWofhCPhomNKc68fmD5T9SsUrkFNA8ST9FkZpump  1.530926
DCiu6xoFQmQcms26RNuFVKTafmVSFNWrDX6f2zuRpump  1.581298
DAfWFWo63d1tMYVahdF3F5G7hx3gxFVyFa5cJwpdpump  1.592435
AS3CbiFgswahWFjz325SjP1qpTvGRrmV5d24RxDTpump  1.614569
CWGYfwXyPJSquiL9aE9SigWHeQt6awCca5qmSeK7pump  1.630063
FHRLSih16Vamnb1P5HWacZvGpKM5rY7UTdKaXc5rpump  1.680953
3SfuaqJDodQdway8EnkmxbWRcw3D9XuDvwKMJnLRpump  1.681561
4zETxMwLG9NNTU4ekiwZCk5Z1RjdsKnosQLR7HQ1pump  1.685141
EcckrScRnQKvkCNjmEZZHzMoFcAgzZDc2yrdoXvVfnrb  1.734058
6YJLEZDquBebdf5XvBXrW1ZS5yuXdozEhFUWtWHFpump  1.737378
